Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
1,0,1,0,1_M,18,1,,,,,,7
1,1,1,1,NA,22,,,,,,,320
1,0,1,0,3_M,1,,,,,,,2
1,0,2,1,4_M,5,1,,,,,,1
1,0,1,0,5_M,21,,,,4,,,7
0,0,0,0,NA,0,0,0,0,0,0,0,0
1,1,1,1,NA,6,,,,,,,2
1,0,1,0,8_M,14,,,,,,,11
1,1,1,1,NA,1,,,,,,,2
1,0,2,0,10_M,23,,,,,,,18
1,0,3,0,11_M,91,6,,,,,,6
0,0,0,0,NA,3,1,,,,,,26
1,1,1,1,NA,1600,46,464,4,4,293,,536
1,0,2,0,14_M,9,,,,,,,
0,0,0,0,NA,13,,,,,,,17
1,0,1,0,16_M,198,69,3,3,2,,,22
1,0,1,0,17_M,19,,,,,,,6
1,0,1,0,18_M,2,,,,,,,
1,0,2,0,19_M,4,,,,,,,2
0,0,0,0,NA,6,,,,,,,12
0,0,0,0,NA,,,,,,,,20
0,0,0,0,NA,,,,,,,,4
0,0,0,0,NA,,1,,,,,,3
0,0,0,0,NA,3,,,,,,,3
1,0,1,1,NA,1100,180,4,31,9,,1,91
0,0,0,0,NA,5,,,,,,,77
1,0,3,0,27_M,39,4,,,,,,16
1,0,1,0,28_M,5,,,,,,,1
1,0,1,0,29_M,29,10,1,4,,,,5
0,0,0,0,NA,,,,,,,,9
0,0,0,0,NA,56,6,11,,,,,222
1,0,4,0,32_M,69,11,,,,,,11
1,0,1,0,33_M,130,16,1,,1,,,22
0,0,0,0,NA,2,1,,,,,,6
0,0,0,0,NA,,,,,,,,11
0,0,0,0,NA,2,,,,,,,15
1,0,1,0,37_A,8,7,,,1,,,15
1,0,1,0,38_A,13,4,,,,,,2
1,0,3,0,39_G,7,1,,,,,,4
0,0,0,0,NA,3,,,,,,,7
1,0,0,0,41_G,1,,,,,,,0
1,0,3,0,42_G,10,2,,,,,,20
1,0,7,0,43_G,9,2,,,,,,5
1,0,1,0,44_G,14,,,,,,,8
1,0,1,0,45_G,33,6,,1,,,,44
1,0,1,0,46_G,19,3,1,,,,,15
0,0,0,0,NA,1,,,,,,,11
0,0,0,0,NA,1,,,,,,,43
1,0,0,0,FB video,15,8,,,,,,4
1,0,1,0,50_G,0,,,,,,,4
1,0,3,1,51_G,20,8,,,,,,9
0,0,0,0,NA,2,,,,,,,17
1,0,8,0,53_G,10,,,,,,,24
1,0,0,0,JEST YT,1,,,,,,,
0,0,0,0,NA,,,,,,,,
1,0,1,0,56_A,13,5,1,,,,,7
1,0,1,0,57_A,,,,,,,,
1,0,1,0,58_A,16,,,,,,,8
1,0,1,0,59_A,11,2,,,,,,0
1,0,1,0,60_A,16,14,,,,,,9
1,,1,0,61_A,11,,,,,,,8
1,0,1,0,62_A,5,1,,,,,,8
1,0,1,0,63_A,6,2,,,,,,6
1,0,1,0,64_A,28,18,4,49,1,,,20
1,0,1,0,65_A,3,,,,,,,0
1,1,0,1,NA,0,,,,,,,3
0,0,0,0,NA,1,,,,,,,3
1,0,0,0,68_G,0,,,,,,,0
1,0,3,1,NA,6,3,,,,,,3
0,0,0,0,NA,0,,,,,,,59
1,0,6,0,71_G,0,,,,,,,0
0,0,0,0,NA,2,,,,,,,50
1,0,1,0,73_G,5,,,,,,,24
1,0,1,0,74_A,13,2,,,,,,3
0,0,0,0,NA,46,21,,,,,,1
0,0,0,0,NA,23,8,,,,,,3
1,0,1,0,A_77,13,3,,,,,,5
1,0,1,0,A_78,1,,,,,,,
1,0,1,0,A_79,2,1,,,,,,2
0,0,0,0,NA,5,,,,1,,,4
0,0,0,0,0,,,,,1,,,20
1,0,2,0,82_G,35,4,,,,,,34
1,0,1,0,83_G,2,,,,,,,9
1,0,1,0,84_G,3,,,,,,,
1,0,19,1,NA,14,,,,,,,
1,0,2,0,86_G,6,3,,,,,,3
1,0,12,1,87_G,5,,,,,,,
1,0,1,0,88_G,10,,,,,,,2
1,0,1,0,89_G,7,1,,,,,1,
1,0,1,0,90_G,17,1,,,,,,5
1,0,8,0,91_G,3,2,,,,,,
1,0,1,0,92_G,5,2,,,,,,6
0,0,0,0,NA,,,,,,,,7
1,0,1,0,94_G,12,2,,,,,,4
1,0,2,0,95_G,11,1,,,,,,7
