,Z9,Z10,Z11,Z12,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
0,1,0,0.012821,0,0.01125,0.002119,0.0,0.0,0.0,0.0,0.0,0
1,1,1,0.012821,1,0.01375,0.0,0.0,0.0,0.0,0.0,0.0,1
2,1,0,0.012821,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1,0,0.025641,1,0.003125,0.002119,0.0,0.0,0.0,0.0,0.0,0
4,1,0,0.012821,0,0.013125,0.0,0.0,0.0,0.040404,0.0,0.0,0
5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,1,1,0.012821,1,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0
7,1,0,0.012821,0,0.00875,0.0,0.0,0.0,0.0,0.0,0.0,1
8,1,1,0.012821,1,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
9,1,0,0.025641,0,0.014375,0.0,0.0,0.0,0.0,0.0,0.0,1
10,1,0,0.038462,0,0.056875,0.012712,0.0,0.0,0.0,0.0,0.0,0
11,0,0,0.0,0,0.001875,0.002119,0.0,0.0,0.0,0.0,0.0,1
12,1,1,0.012821,1,1.0,0.097458,1.0,0.049383,0.040404,1.0,0.0,1
13,1,0,0.025641,0,0.005625,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0,0,0.0,0,0.008125,0.0,0.0,0.0,0.0,0.0,0.0,1
15,1,0,0.012821,0,0.12375,0.146186,0.006466,0.037037,0.020202,0.0,0.0,1
16,1,0,0.012821,0,0.011875,0.0,0.0,0.0,0.0,0.0,0.0,0
17,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
18,1,0,0.025641,0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0
19,0,0,0.0,0,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,1
20,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,0,0,0.0,0,0.0,0.002119,0.0,0.0,0.0,0.0,0.0,0
23,0,0,0.0,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
24,1,0,0.012821,1,0.6875,0.381356,0.008621,0.382716,0.090909,0.0,1.0,1
25,0,0,0.0,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,1
26,1,0,0.038462,0,0.024375,0.008475,0.0,0.0,0.0,0.0,0.0,1
27,1,0,0.012821,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0
28,1,0,0.012821,0,0.018125,0.021186,0.002155,0.049383,0.0,0.0,0.0,0
29,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,0,0,0.0,0,0.035,0.012712,0.023707,0.0,0.0,0.0,0.0,1
31,1,0,0.051282,0,0.043125,0.023305,0.0,0.0,0.0,0.0,0.0,1
32,1,0,0.012821,0,0.08125,0.033898,0.002155,0.0,0.010101,0.0,0.0,1
33,0,0,0.0,0,0.00125,0.002119,0.0,0.0,0.0,0.0,0.0,0
34,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
36,1,0,0.012821,0,0.005,0.014831,0.0,0.0,0.010101,0.0,0.0,1
37,1,0,0.012821,0,0.008125,0.008475,0.0,0.0,0.0,0.0,0.0,0
38,1,0,0.038462,0,0.004375,0.002119,0.0,0.0,0.0,0.0,0.0,0
39,0,0,0.0,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
40,1,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
41,1,0,0.038462,0,0.00625,0.004237,0.0,0.0,0.0,0.0,0.0,1
42,1,0,0.089744,0,0.005625,0.004237,0.0,0.0,0.0,0.0,0.0,0
43,1,0,0.012821,0,0.00875,0.0,0.0,0.0,0.0,0.0,0.0,1
44,1,0,0.012821,0,0.020625,0.012712,0.0,0.012346,0.0,0.0,0.0,1
45,1,0,0.012821,0,0.011875,0.006356,0.002155,0.0,0.0,0.0,0.0,1
46,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
47,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
48,1,0,0.0,0,0.009375,0.016949,0.0,0.0,0.0,0.0,0.0,0
49,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,1,0,0.038462,1,0.0125,0.016949,0.0,0.0,0.0,0.0,0.0,1
51,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
52,1,0,0.102564,0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,1
53,1,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
54,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,1,0,0.012821,0,0.008125,0.010593,0.002155,0.0,0.0,0.0,0.0,0
56,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57,1,0,0.012821,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1
58,1,0,0.012821,0,0.006875,0.004237,0.0,0.0,0.0,0.0,0.0,0
59,1,0,0.012821,0,0.01,0.029661,0.0,0.0,0.0,0.0,0.0,1
60,1,0,0.012821,0,0.006875,0.0,0.0,0.0,0.0,0.0,0.0,1
61,1,0,0.012821,0,0.003125,0.002119,0.0,0.0,0.0,0.0,0.0,1
62,1,0,0.012821,0,0.00375,0.004237,0.0,0.0,0.0,0.0,0.0,0
63,1,0,0.012821,0,0.0175,0.038136,0.008621,0.604938,0.010101,0.0,0.0,1
64,1,0,0.012821,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
65,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
67,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,1,0,0.038462,1,0.00375,0.006356,0.0,0.0,0.0,0.0,0.0,0
69,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
70,1,0,0.076923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
72,1,0,0.012821,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,1
73,1,0,0.012821,0,0.008125,0.004237,0.0,0.0,0.0,0.0,0.0,0
74,0,0,0.0,0,0.02875,0.044492,0.0,0.0,0.0,0.0,0.0,0
75,0,0,0.0,0,0.014375,0.016949,0.0,0.0,0.0,0.0,0.0,0
76,1,0,0.012821,0,0.008125,0.006356,0.0,0.0,0.0,0.0,0.0,0
77,1,0,0.012821,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
78,1,0,0.012821,0,0.00125,0.002119,0.0,0.0,0.0,0.0,0.0,0
79,0,0,0.0,0,0.003125,0.0,0.0,0.0,0.010101,0.0,0.0,0
80,0,0,0.0,0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,1
81,1,0,0.025641,0,0.021875,0.008475,0.0,0.0,0.0,0.0,0.0,1
82,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
83,1,0,0.012821,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
84,1,0,0.24359,1,0.00875,0.0,0.0,0.0,0.0,0.0,0.0,0
